date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:52:13	90724/90724	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:26:44%20GMT	https://michelbeaulieu.ca/en/	C:/Users/Cneo/Downloads/javier2wwwwwwwwww/michelbeaulieu.ca/en/index.html	(from )
20:52:13	70/70	---M--	200	added ('OK')	text/plain	date:Mon,%2017%20Feb%202025%2002:52:12%20GMT	https://michelbeaulieu.ca/robots.txt		(from )
20:52:13	216911/216911	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Sep%202024%2015:43:48%20GMT	https://michelbeaulieu.ca/wp-content/uploads/2024/05/og-image-en.jpg	C:/Users/Cneo/Downloads/javier2wwwwwwwwww/michelbeaulieu.ca/wp-content/uploads/2024/05/og-image-en.jpg	(from https://michelbeaulieu.ca/en/)
20:52:13	389178/389178	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Sep%202024%2015:43:48%20GMT	https://michelbeaulieu.ca/wp-content/uploads/2024/05/latt-cote-noir.jpg	C:/Users/Cneo/Downloads/javier2wwwwwwwwww/michelbeaulieu.ca/wp-content/uploads/2024/05/latt-cote-noir.jpg	(from https://michelbeaulieu.ca/en/)
20:52:14	15866/15866	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Feb%202025%2013:58:59%20GMT	https://michelbeaulieu.ca/wp-content/cache/min/1/wp-content/plugins/ff-wp-tracking/assets/dist/css/styles.css?ver=1738763939	C:/Users/Cneo/Downloads/javier2wwwwwwwwww/michelbeaulieu.ca/wp-content/cache/min/1/wp-content/plugins/ff-wp-tracking/assets/dist/css/styles86eb.css	(from https://michelbeaulieu.ca/en/)
20:52:14	9460/9460	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Feb%202025%2013:58:59%20GMT	https://michelbeaulieu.ca/wp-content/cache/min/1/wp-content/themes/fatfish/dist/styles/vendors.min.css?ver=1738763939	C:/Users/Cneo/Downloads/javier2wwwwwwwwww/michelbeaulieu.ca/wp-content/cache/min/1/wp-content/themes/fatfish/dist/styles/vendors.min86eb.css	(from https://michelbeaulieu.ca/en/)
20:52:14	167316/167316	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Feb%202025%2013:58:59%20GMT	https://michelbeaulieu.ca/wp-content/cache/min/1/wp-content/themes/fatfish/dist/styles/frontend.min.css?ver=1738763939	C:/Users/Cneo/Downloads/javier2wwwwwwwwww/michelbeaulieu.ca/wp-content/cache/min/1/wp-content/themes/fatfish/dist/styles/frontend.min86eb.css	(from https://michelbeaulieu.ca/en/)
20:52:14	239/239	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Feb%202025%2013:58:59%20GMT	https://michelbeaulieu.ca/wp-content/cache/min/1/wp-content/plugins/sitepress-multilingual-cms/res/js/cookies/language-cookie.js?ver=1738763939	C:/Users/Cneo/Downloads/javier2wwwwwwwwww/michelbeaulieu.ca/wp-content/cache/min/1/wp-content/plugins/sitepress-multilingual-cms/res/js/cookies/language-cookie86eb.js	(from https://michelbeaulieu.ca/en/)
20:52:15	10255/10255	---M--	200	added ('OK')	application/javascript	date:Fri,%2024%20Jan%202025%2019:00:04%20GMT	https://michelbeaulieu.ca/wp-content/plugins/ff-wp-tracking/assets/dist/js/scripts.min.js?ver=6.7.1	C:/Users/Cneo/Downloads/javier2wwwwwwwwww/michelbeaulieu.ca/wp-content/plugins/ff-wp-tracking/assets/dist/js/scripts.min9704.js	(from https://michelbeaulieu.ca/en/)
20:52:15	89501/89501	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Feb%202025%2013:57:16%20GMT	https://michelbeaulieu.ca/wp-content/themes/fatfish/dist/node-vendor/jquery/dist/jquery.min.js?ver=3.6.0	C:/Users/Cneo/Downloads/javier2wwwwwwwwww/michelbeaulieu.ca/wp-content/themes/fatfish/dist/node-vendor/jquery/dist/jquery.minaf6c.js	(from https://michelbeaulieu.ca/en/)
20:52:15	21535/21535	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Feb%202025%2013:57:11%20GMT	https://michelbeaulieu.ca/wp-content/themes/fatfish/dist/node-vendor/ua-parser-js/dist/ua-parser.min.js?ver=9bb8bbe9	C:/Users/Cneo/Downloads/javier2wwwwwwwwww/michelbeaulieu.ca/wp-content/themes/fatfish/dist/node-vendor/ua-parser-js/dist/ua-parser.min75e1.js	(from https://michelbeaulieu.ca/en/)
